DATAFLOW,LAST UPDATE,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,AT,EU27_2020_EXTRA,TOTAL,1,VALUE_IN_EUROS,2020,34868782345,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,AT,EU27_2020_EXTRA,TOTAL,1,VALUE_IN_EUROS,2021,43879513551,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,AT,EU27_2020_EXTRA,TOTAL,2,VALUE_IN_EUROS,2020,46470094565,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,AT,EU27_2020_EXTRA,TOTAL,2,VALUE_IN_EUROS,2021,53002037109,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,AT,EU27_2020_INTRA,TOTAL,1,VALUE_IN_EUROS,2020,116065916062,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,AT,EU27_2020_INTRA,TOTAL,1,VALUE_IN_EUROS,2021,141852760883,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,AT,EU27_2020_INTRA,TOTAL,2,VALUE_IN_EUROS,2020,101817904076,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,AT,EU27_2020_INTRA,TOTAL,2,VALUE_IN_EUROS,2021,118539195780,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,AT,WORLD,TOTAL,1,VALUE_IN_EUROS,2020,150934698407,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,AT,WORLD,TOTAL,1,VALUE_IN_EUROS,2021,185732274434,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,AT,WORLD,TOTAL,2,VALUE_IN_EUROS,2020,148287998641,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,AT,WORLD,TOTAL,2,VALUE_IN_EUROS,2021,171541232889,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,BE,EU27_2020_EXTRA,TOTAL,1,VALUE_IN_EUROS,2020,135171653839,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,BE,EU27_2020_EXTRA,TOTAL,1,VALUE_IN_EUROS,2021,166912399408,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,BE,EU27_2020_EXTRA,TOTAL,2,VALUE_IN_EUROS,2020,130393427650,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,BE,EU27_2020_EXTRA,TOTAL,2,VALUE_IN_EUROS,2021,154656698626,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,BE,EU27_2020_INTRA,TOTAL,1,VALUE_IN_EUROS,2020,213226901117,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,BE,EU27_2020_INTRA,TOTAL,1,VALUE_IN_EUROS,2021,279601887403,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,BE,EU27_2020_INTRA,TOTAL,2,VALUE_IN_EUROS,2020,238856379346,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,BE,EU27_2020_INTRA,TOTAL,2,VALUE_IN_EUROS,2021,310026960399,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,BE,WORLD,TOTAL,1,VALUE_IN_EUROS,2020,348398554956,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,BE,WORLD,TOTAL,1,VALUE_IN_EUROS,2021,446514286811,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,BE,WORLD,TOTAL,2,VALUE_IN_EUROS,2020,369249806996,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,BE,WORLD,TOTAL,2,VALUE_IN_EUROS,2021,464683659025,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,BG,EU27_2020_EXTRA,TOTAL,1,VALUE_IN_EUROS,2020,11944466118,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,BG,EU27_2020_EXTRA,TOTAL,1,VALUE_IN_EUROS,2021,15438076199,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,BG,EU27_2020_EXTRA,TOTAL,2,VALUE_IN_EUROS,2020,9639201365,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,BG,EU27_2020_EXTRA,TOTAL,2,VALUE_IN_EUROS,2021,11675428590,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,BG,EU27_2020_INTRA,TOTAL,1,VALUE_IN_EUROS,2020,18704352552,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,BG,EU27_2020_INTRA,TOTAL,1,VALUE_IN_EUROS,2021,23690000231,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,BG,EU27_2020_INTRA,TOTAL,2,VALUE_IN_EUROS,2020,18327673975,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,BG,EU27_2020_INTRA,TOTAL,2,VALUE_IN_EUROS,2021,23146824590,
